name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,725,725,4325,5,4320,,
2,10,730,730,4326,40,4316,,
3,15,735,735,4327,40,4312,,
4,20,740,740,4328,40,4308,,
5,25,745,745,4329,40,4304,,
6,30,750,750,4330,40,4300,,
7,35,755,755,4331,40,4296,,
8,40,760,760,4332,40,4292,,
9,45,765,765,4333,40,4288,,
10,50,770,770,4334,40,4284,,
11,55,775,775,4335,40,4280,,
12,60,780,780,4336,40,4276,,
13,65,785,785,4337,40,4272,,
14,70,790,790,4338,40,4268,,
15,75,795,795,4339,40,4264,,
16,80,800,800,4340,40,4260,,
17,85,805,805,4341,40,4256,,
18,90,810,810,4342,40,4252,,
19,95,815,815,4343,40,4248,,
20,100,820,820,4344,40,4244,,
21,105,825,825,4345,40,4240,,
22,110,830,830,4346,40,4236,,
23,115,835,835,4347,40,4232,,
24,120,840,840,4348,40,4228,,
25,125,845,845,4349,40,4224,,
26,130,850,850,4350,40,4220,,
27,135,855,855,4351,40,4216,,
28,140,860,860,4352,40,4212,,
29,145,865,865,4353,40,4208,,
30,150,4326,4326,4776,40,4626,,
31,155,4327,4327,7927,5,7772,,
32,160,4328,4328,7928,40,7768,,
33,165,4329,4329,7929,40,7764,,
34,170,4330,4330,7930,40,7760,,
35,175,4331,4331,7931,40,7756,,
36,180,4332,4332,7932,40,7752,,
37,185,4333,4333,7933,40,7748,,
38,190,4334,4334,7934,40,7744,,
39,195,4335,4335,7935,40,7740,,
40,200,4336,4336,7936,40,7736,,
41,205,4337,4337,7937,40,7732,,
42,210,4338,4338,7938,40,7728,,
43,215,4339,4339,7939,40,7724,,
44,220,4340,4340,7940,40,7720,,
45,225,4341,4341,7941,40,7716,,
46,230,4342,4342,7942,40,7712,,
47,235,4343,4343,7943,40,7708,,
48,240,4344,4344,7944,40,7704,,
49,245,4345,4345,7945,40,7700,,
50,250,4346,4346,7946,40,7696,,
51,255,4347,4347,7947,40,7692,,
52,260,4348,4348,7948,40,7688,,
53,265,4349,4349,7949,40,7684,,
54,270,4350,4350,7950,40,7680,,
55,275,4351,4351,7951,40,7676,,
56,280,4352,4352,7952,40,7672,,
57,285,4353,4353,7953,40,7668,,
58,290,4354,4354,7954,40,7664,,
59,295,4777,4777,7955,40,7660,,
60,300,7928,7928,8378,40,8078,,
61,305,7929,7929,11529,5,11224,,
62,310,7930,7930,11530,40,11220,,
63,315,7931,7931,11531,40,11216,,
64,320,7932,7932,11532,40,11212,,
65,325,7933,7933,11533,40,11208,,
66,330,7934,7934,11534,40,11204,,
67,335,7935,7935,11535,40,11200,,
68,340,7936,7936,11536,40,11196,,
69,345,7937,7937,11537,40,11192,,
70,350,7938,7938,11538,40,11188,,
71,355,7939,7939,11539,40,11184,,
72,360,7940,7940,11540,40,11180,,
73,365,7941,7941,11541,40,11176,,
74,370,7942,7942,11542,40,11172,,
75,375,7943,7943,11543,40,11168,,
76,380,7944,7944,11544,40,11164,,
77,385,7945,7945,11545,40,11160,,
78,390,7946,7946,11546,40,11156,,
79,395,7947,7947,11547,40,11152,,
80,400,7948,7948,11548,40,11148,,
81,405,7949,7949,11549,40,11144,,
82,410,7950,7950,11550,40,11140,,
83,415,7951,7951,11551,40,11136,,
84,420,7952,7952,11552,40,11132,,
85,425,7953,7953,11553,40,11128,,
86,430,7954,7954,11554,40,11124,,
87,435,7955,7955,11555,40,11120,,
88,440,7956,7956,11556,40,11116,,
89,445,8379,8379,11557,40,11112,,
90,450,11530,11530,11980,40,11530,,
91,455,11531,11531,15131,5,14676,,
92,460,11532,11532,15132,5,14672,,
93,465,11533,11533,15133,5,14668,,
94,470,11534,11534,15134,10,14664,,
95,475,11535,11535,15135,10,14660,,
96,480,11536,11536,15136,10,14656,,
97,485,11537,11537,15137,10,14652,,
98,490,11538,11538,15138,20,14648,,
99,495,11539,11539,15139,20,14644,,
100,500,11540,11540,15140,20,14640,,
101,505,11541,11541,15141,20,14636,,
102,510,11542,11542,15142,20,14632,,
103,515,11543,11543,15143,20,14628,,
104,520,11544,11544,15144,20,14624,,
105,525,11545,11545,15145,20,14620,,
106,530,11546,11546,15146,40,14616,,
107,535,11547,11547,15147,40,14612,,
108,540,11548,11548,15148,40,14608,,
109,545,11549,11549,15149,40,14604,,
110,550,11550,11550,15150,40,14600,,
111,555,11551,11551,15151,40,14596,,
112,560,11552,11552,15152,40,14592,,
113,565,11553,11553,15153,40,14588,,
114,570,11554,11554,15154,40,14584,,
115,575,11555,11555,15155,40,14580,,
116,580,11556,11556,15156,40,14576,,
117,585,11557,11557,15157,40,14572,,
118,590,11558,11558,15158,40,14568,,
119,595,11981,11981,15159,40,14564,,
,,,,,,,,
,,,,,,9407.613445,,"40,20,10,5"
