name, ncIn, ncOut, cIn, cOut, speed, time
1, 900, 1140, 1140, 2490, 40.0, 1590
2, 1800, 2040, 2040, 3390, 40.0, 1590
3, 2700, 2940, 2940, 4290, 40.0, 1590
4, 3600, 3840, 3840, 5190, 40.0, 1590
5, 4500, 4740, 4740, 6090, 40.0, 1590
6, 5400, 5640, 5640, 6990, 40.0, 1590
7, 6300, 6540, 6540, 7890, 40.0, 1590
8, 7200, 7440, 7440, 8790, 40.0, 1590
9, 8100, 8340, 8340, 9690, 40.0, 1590
10, 9000, 9240, 9240, 10590, 40.0, 1590
11, 9900, 10140, 10140, 11490, 40.0, 1590
12, 10800, 11040, 11040, 12390, 40.0, 1590
13, 11700, 11940, 11940, 13290, 40.0, 1590
14, 12600, 12840, 12840, 14190, 40.0, 1590
15, 13500, 13740, 13740, 15090, 40.0, 1590
16, 14400, 14640, 14640, 15990, 40.0, 1590
17, 15300, 15540, 15540, 16890, 40.0, 1590
18, 16200, 16440, 16440, 17790, 40.0, 1590
19, 17100, 17340, 17340, 18690, 40.0, 1590
20, 18000, 18240, 18240, 19590, 40.0, 1590
21, 18900, 19140, 19140, 20490, 40.0, 1590
22, 19800, 20040, 20040, 21390, 40.0, 1590
23, 20700, 20940, 20940, 22290, 40.0, 1590
24, 21600, 21840, 21840, 23190, 40.0, 1590
25, 22500, 22740, 22740, 24090, 40.0, 1590
26, 23400, 23640, 23640, 24990, 40.0, 1590
27, 24300, 24540, 24540, 25890, 40.0, 1590
28, 25200, 25440, 25440, 26790, 40.0, 1590
29, 26100, 26340, 26340, 27690, 40.0, 1590
30, 27000, 27240, 27240, 28590, 40.0, 1590
31, 27900, 28140, 28140, 29490, 40.0, 1590
32, 28800, 29040, 29040, 30390, 40.0, 1590
33, 29700, 29940, 29940, 31290, 40.0, 1590
34, 30600, 30840, 30840, 32190, 40.0, 1590
35, 31500, 31740, 31740, 33090, 40.0, 1590
36, 32400, 32640, 32640, 33990, 40.0, 1590
37, 33300, 33540, 33540, 34890, 40.0, 1590
38, 34200, 34440, 34440, 35790, 40.0, 1590
39, 35100, 35340, 35340, 36690, 40.0, 1590
40, 36000, 36240, 36240, 37590, 40.0, 1590
41, 36900, 37140, 37140, 38490, 40.0, 1590
42, 37800, 38040, 38040, 39390, 40.0, 1590
43, 38700, 38940, 38940, 40290, 40.0, 1590
44, 39600, 39840, 39840, 41190, 40.0, 1590
45, 40500, 40740, 40740, 42090, 40.0, 1590
46, 41400, 41640, 41640, 42990, 40.0, 1590
47, 42300, 42540, 42540, 43890, 40.0, 1590
48, 43200, 43440, 43440, 44790, 40.0, 1590
49, 44100, 44340, 44340, 45690, 40.0, 1590
50, 45000, 45240, 45240, 46590, 40.0, 1590
51, 45900, 46140, 46140, 47490, 40.0, 1590
52, 46800, 47040, 47040, 48390, 40.0, 1590
53, 47700, 47940, 47940, 49290, 40.0, 1590
54, 48600, 48840, 48840, 50190, 40.0, 1590
55, 49500, 49740, 49740, 51090, 40.0, 1590
56, 50400, 50640, 50640, 51990, 40.0, 1590
57, 51300, 51540, 51540, 52890, 40.0, 1590
58, 52200, 52440, 52440, 53790, 40.0, 1590
59, 53100, 53340, 53340, 54690, 40.0, 1590
60, 54000, 54240, 54240, 55590, 40.0, 1590
61, 54900, 55140, 55140, 56490, 40.0, 1590
62, 55800, 56040, 56040, 57390, 40.0, 1590
63, 56700, 56940, 56940, 58290, 40.0, 1590
64, 57600, 57840, 57840, 59190, 40.0, 1590
65, 58500, 58740, 58740, 60090, 40.0, 1590
66, 59400, 59640, 59640, 60990, 40.0, 1590
67, 60300, 60540, 60540, 61890, 40.0, 1590
68, 61200, 61440, 61440, 62790, 40.0, 1590
69, 62100, 62340, 62340, 63690, 40.0, 1590
70, 63000, 63240, 63240, 64590, 40.0, 1590
71, 63900, 64140, 64140, 65490, 40.0, 1590
72, 64800, 65040, 65040, 66390, 40.0, 1590
73, 65700, 65940, 65940, 67290, 40.0, 1590
74, 66600, 66840, 66840, 68190, 40.0, 1590
75, 67500, 67740, 67740, 69090, 40.0, 1590
76, 68400, 68640, 68640, 69990, 40.0, 1590
77, 69300, 69540, 69540, 70890, 40.0, 1590
78, 70200, 70440, 70440, 71790, 40.0, 1590
79, 71100, 71340, 71340, 72690, 40.0, 1590
80, 72000, 72240, 72240, 73590, 40.0, 1590
81, 72900, 73140, 73140, 74490, 40.0, 1590
82, 73800, 74040, 74040, 75390, 40.0, 1590
83, 74700, 74940, 74940, 76290, 40.0, 1590
84, 75600, 75840, 75840, 77190, 40.0, 1590
85, 76500, 76740, 76740, 78090, 40.0, 1590
86, 77400, 77640, 77640, 78990, 40.0, 1590
87, 78300, 78540, 78540, 79890, 40.0, 1590
88, 79200, 79440, 79440, 80790, 40.0, 1590
89, 80100, 80340, 80340, 81690, 40.0, 1590
90, 81000, 81240, 81240, 82590, 40.0, 1590
91, 81900, 82140, 82140, 83490, 40.0, 1590
92, 82800, 83040, 83040, 84390, 40.0, 1590
93, 83700, 83940, 83940, 85290, 40.0, 1590
94, 84600, 84840, 84840, 86190, 40.0, 1590
95, 85500, 85740, 85740, 87090, 40.0, 1590
96, 86400, 86640, 86640, 87990, 40.0, 1590
97, 87300, 87540, 87540, 88890, 40.0, 1590
98, 88200, 88440, 88440, 89790, 40.0, 1590
99, 89100, 89340, 89340, 90690, 40.0, 1590
100, 90000, 90240, 90240, 91590, 40.0, 1590
101, 90900, 91140, 91140, 92490, 40.0, 1590
102, 91800, 92040, 92040, 93390, 40.0, 1590
103, 92700, 92940, 92940, 94290, 40.0, 1590
104, 93600, 93840, 93840, 95190, 40.0, 1590
105, 94500, 94740, 94740, 96090, 40.0, 1590
106, 95400, 95640, 95640, 96990, 40.0, 1590
107, 96300, 96540, 96540, 97890, 40.0, 1590
108, 97200, 97440, 97440, 98790, 40.0, 1590
109, 98100, 98340, 98340, 99690, 40.0, 1590
110, 99000, 99240, 99240, 100590, 40.0, 1590
111, 99900, 100140, 100140, 101490, 40.0, 1590
112, 100800, 101040, 101040, 102390, 40.0, 1590
113, 101700, 101940, 101940, 103290, 40.0, 1590
114, 102600, 102840, 102840, 104190, 40.0, 1590
115, 103500, 103740, 103740, 105090, 40.0, 1590
116, 104400, 104640, 104640, 105990, 40.0, 1590
117, 105300, 105540, 105540, 106890, 40.0, 1590
118, 106200, 106440, 106440, 107790, 40.0, 1590
119, 107100, 107340, 107340, 108690, 40.0, 1590
