name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,5,5,7205,10,7200,,
2,10,10,10,7206,40,7196,,
3,15,15,15,7207,40,7192,,
4,20,20,20,7208,40,7188,,
5,25,25,25,7209,40,7184,,
6,30,30,30,7210,40,7180,,
7,35,35,35,7211,40,7176,,
8,40,40,40,7212,40,7172,,
9,45,45,45,7213,40,7168,,
10,50,50,50,7214,40,7164,,
11,55,55,55,7215,40,7160,,
12,60,60,60,7216,40,7156,,
13,65,65,65,7217,40,7152,,
14,70,70,70,7218,40,7148,,
15,75,75,75,7219,40,7144,,
16,80,80,80,7220,40,7140,,
17,85,85,85,7221,40,7136,,
18,90,90,90,7222,40,7132,,
19,95,95,95,7223,40,7128,,
20,100,100,100,7224,40,7124,,
21,105,105,105,7225,40,7120,,
22,110,110,110,7226,40,7116,,
23,115,115,115,7227,40,7112,,
24,120,120,120,7228,40,7108,,
25,125,125,125,7229,40,7104,,
26,130,130,130,7230,40,7100,,
27,135,135,135,7231,40,7096,,
28,140,140,140,7232,40,7092,,
29,145,145,145,7233,40,7088,,
30,150,7206,7206,9006,40,8856,,
31,155,7207,7207,14407,10,14252,,
32,160,7208,7208,14408,40,14248,,
33,165,7209,7209,14409,40,14244,,
34,170,7210,7210,14410,40,14240,,
35,175,7211,7211,14411,40,14236,,
36,180,7212,7212,14412,40,14232,,
37,185,7213,7213,14413,40,14228,,
38,190,7214,7214,14414,40,14224,,
39,195,7215,7215,14415,40,14220,,
40,200,7216,7216,14416,40,14216,,
41,205,7217,7217,14417,40,14212,,
42,210,7218,7218,14418,40,14208,,
43,215,7219,7219,14419,40,14204,,
44,220,7220,7220,14420,40,14200,,
45,225,7221,7221,14421,40,14196,,
46,230,7222,7222,14422,40,14192,,
47,235,7223,7223,14423,40,14188,,
48,240,7224,7224,14424,40,14184,,
49,245,7225,7225,14425,40,14180,,
50,250,7226,7226,14426,40,14176,,
51,255,7227,7227,14427,40,14172,,
52,260,7228,7228,14428,40,14168,,
53,265,7229,7229,14429,40,14164,,
54,270,7230,7230,14430,40,14160,,
55,275,7231,7231,14431,40,14156,,
56,280,7232,7232,14432,40,14152,,
57,285,7233,7233,14433,40,14148,,
58,290,7234,7234,14434,40,14144,,
59,295,9007,9007,14435,40,14140,,
60,300,14408,14408,16208,40,15908,,
61,305,14409,14409,21609,10,21304,,
62,310,14410,14410,21610,40,21300,,
63,315,14411,14411,21611,40,21296,,
64,320,14412,14412,21612,40,21292,,
65,325,14413,14413,21613,40,21288,,
66,330,14414,14414,21614,40,21284,,
67,335,14415,14415,21615,40,21280,,
68,340,14416,14416,21616,40,21276,,
69,345,14417,14417,21617,40,21272,,
70,350,14418,14418,21618,40,21268,,
71,355,14419,14419,21619,40,21264,,
72,360,14420,14420,21620,40,21260,,
73,365,14421,14421,21621,40,21256,,
74,370,14422,14422,21622,40,21252,,
75,375,14423,14423,21623,40,21248,,
76,380,14424,14424,21624,40,21244,,
77,385,14425,14425,21625,40,21240,,
78,390,14426,14426,21626,40,21236,,
79,395,14427,14427,21627,40,21232,,
80,400,14428,14428,21628,40,21228,,
81,405,14429,14429,21629,40,21224,,
82,410,14430,14430,21630,40,21220,,
83,415,14431,14431,21631,40,21216,,
84,420,14432,14432,21632,40,21212,,
85,425,14433,14433,21633,40,21208,,
86,430,14434,14434,21634,40,21204,,
87,435,14435,14435,21635,40,21200,,
88,440,14436,14436,21636,40,21196,,
89,445,16209,16209,21637,40,21192,,
90,450,21610,21610,23410,40,22960,,
91,455,21611,21611,28811,10,28356,,
92,460,21612,21612,28812,10,28352,,
93,465,21613,21613,28813,10,28348,,
94,470,21614,21614,28814,20,28344,,
95,475,21615,21615,28815,20,28340,,
96,480,21616,21616,28816,20,28336,,
97,485,21617,21617,28817,20,28332,,
98,490,21618,21618,28818,30,28328,,
99,495,21619,21619,28819,30,28324,,
100,500,21620,21620,28820,30,28320,,
101,505,21621,21621,28821,30,28316,,
102,510,21622,21622,28822,30,28312,,
103,515,21623,21623,28823,30,28308,,
104,520,21624,21624,28824,30,28304,,
105,525,21625,21625,28825,30,28300,,
106,530,21626,21626,28826,40,28296,,
107,535,21627,21627,28827,40,28292,,
108,540,21628,21628,28828,40,28288,,
109,545,21629,21629,28829,40,28284,,
110,550,21630,21630,28830,40,28280,,
111,555,21631,21631,28831,40,28276,,
112,560,21632,21632,28832,40,28272,,
113,565,21633,21633,28833,40,28268,,
114,570,21634,21634,28834,40,28264,,
115,575,21635,21635,28835,40,28260,,
116,580,21636,21636,28836,40,28256,,
117,585,21637,21637,28837,40,28252,,
118,590,21638,21638,28838,40,28248,,
119,595,23411,23411,28839,40,28244,,
,,,,,,,,
,,,,,,17676.26891,,every min
