name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,485,485,4085,10,4080,,
2,10,490,490,4086,40,4076,,
3,15,495,495,4087,40,4072,,
4,20,500,500,4088,40,4068,,
5,25,505,505,4089,40,4064,,
6,30,510,510,4090,40,4060,,
7,35,515,515,4091,40,4056,,
8,40,520,520,4092,40,4052,,
9,45,525,525,4093,40,4048,,
10,50,530,530,4094,40,4044,,
11,55,535,535,4095,40,4040,,
12,60,540,540,4096,40,4036,,
13,65,545,545,4097,40,4032,,
14,70,550,550,4098,40,4028,,
15,75,555,555,4099,40,4024,,
16,80,560,560,4100,40,4020,,
17,85,565,565,4101,40,4016,,
18,90,570,570,4102,40,4012,,
19,95,575,575,4103,40,4008,,
20,100,580,580,4104,40,4004,,
21,105,585,585,4105,40,4000,,
22,110,590,590,4106,40,3996,,
23,115,595,595,4107,40,3992,,
24,120,600,600,4108,40,3988,,
25,125,605,605,4109,40,3984,,
26,130,610,610,4110,40,3980,,
27,135,615,615,4111,40,3976,,
28,140,620,620,4112,40,3972,,
29,145,625,625,4113,40,3968,,
30,150,4086,4086,4986,40,4836,,
31,155,4087,4087,7687,10,7532,,
32,160,4088,4088,7688,40,7528,,
33,165,4089,4089,7689,40,7524,,
34,170,4090,4090,7690,40,7520,,
35,175,4091,4091,7691,40,7516,,
36,180,4092,4092,7692,40,7512,,
37,185,4093,4093,7693,40,7508,,
38,190,4094,4094,7694,40,7504,,
39,195,4095,4095,7695,40,7500,,
40,200,4096,4096,7696,40,7496,,
41,205,4097,4097,7697,40,7492,,
42,210,4098,4098,7698,40,7488,,
43,215,4099,4099,7699,40,7484,,
44,220,4100,4100,7700,40,7480,,
45,225,4101,4101,7701,40,7476,,
46,230,4102,4102,7702,40,7472,,
47,235,4103,4103,7703,40,7468,,
48,240,4104,4104,7704,40,7464,,
49,245,4105,4105,7705,40,7460,,
50,250,4106,4106,7706,40,7456,,
51,255,4107,4107,7707,40,7452,,
52,260,4108,4108,7708,40,7448,,
53,265,4109,4109,7709,40,7444,,
54,270,4110,4110,7710,40,7440,,
55,275,4111,4111,7711,40,7436,,
56,280,4112,4112,7712,40,7432,,
57,285,4113,4113,7713,40,7428,,
58,290,4114,4114,7714,40,7424,,
59,295,4987,4987,7715,40,7420,,
60,300,7688,7688,8588,40,8288,,
61,305,7689,7689,11289,10,10984,,
62,310,7690,7690,11290,40,10980,,
63,315,7691,7691,11291,40,10976,,
64,320,7692,7692,11292,40,10972,,
65,325,7693,7693,11293,40,10968,,
66,330,7694,7694,11294,40,10964,,
67,335,7695,7695,11295,40,10960,,
68,340,7696,7696,11296,40,10956,,
69,345,7697,7697,11297,40,10952,,
70,350,7698,7698,11298,40,10948,,
71,355,7699,7699,11299,40,10944,,
72,360,7700,7700,11300,40,10940,,
73,365,7701,7701,11301,40,10936,,
74,370,7702,7702,11302,40,10932,,
75,375,7703,7703,11303,40,10928,,
76,380,7704,7704,11304,40,10924,,
77,385,7705,7705,11305,40,10920,,
78,390,7706,7706,11306,40,10916,,
79,395,7707,7707,11307,40,10912,,
80,400,7708,7708,11308,40,10908,,
81,405,7709,7709,11309,40,10904,,
82,410,7710,7710,11310,40,10900,,
83,415,7711,7711,11311,40,10896,,
84,420,7712,7712,11312,40,10892,,
85,425,7713,7713,11313,40,10888,,
86,430,7714,7714,11314,40,10884,,
87,435,7715,7715,11315,40,10880,,
88,440,7716,7716,11316,40,10876,,
89,445,8589,8589,11317,40,10872,,
90,450,11290,11290,12190,40,11740,,
91,455,11291,11291,14891,10,14436,,
92,460,11292,11292,14892,10,14432,,
93,465,11293,11293,14893,10,14428,,
94,470,11294,11294,14894,20,14424,,
95,475,11295,11295,14895,20,14420,,
96,480,11296,11296,14896,20,14416,,
97,485,11297,11297,14897,20,14412,,
98,490,11298,11298,14898,30,14408,,
99,495,11299,11299,14899,30,14404,,
100,500,11300,11300,14900,30,14400,,
101,505,11301,11301,14901,30,14396,,
102,510,11302,11302,14902,30,14392,,
103,515,11303,11303,14903,30,14388,,
104,520,11304,11304,14904,30,14384,,
105,525,11305,11305,14905,30,14380,,
106,530,11306,11306,14906,40,14376,,
107,535,11307,11307,14907,40,14372,,
108,540,11308,11308,14908,40,14368,,
109,545,11309,11309,14909,40,14364,,
110,550,11310,11310,14910,40,14360,,
111,555,11311,11311,14911,40,14356,,
112,560,11312,11312,14912,40,14352,,
113,565,11313,11313,14913,40,14348,,
114,570,11314,11314,14914,40,14344,,
115,575,11315,11315,14915,40,14340,,
116,580,11316,11316,14916,40,14336,,
117,585,11317,11317,14917,40,14332,,
118,590,11318,11318,14918,40,14328,,
119,595,12191,12191,14919,40,14324,,
,,,,,,,,
,,,,,,9178.957983,,10nc/10c
